UniqueCount	AmbigCount
20	1443
4	1613
85	2298
17	1162
3	1249
401	5068
7	71
3	554
0	504
0	10484
0	10804
0	10066
0	10386
5	0
105	4315
47	4315
1769	0
1506	0
8	0
4799	0
4570	0
8	3604
11	3832
265	3620
50	2079
13	2038
24	774
2200	3029
2	19
0	19
12143	0
11134	0
6	734
30	893
61	844
1	119
0	118
0	118
1715	0
124	5655
0	5655
292	0
496	0
961	2260
16	2260
0	1613
47	1135
3	1126
30	1094
28	1234
2	963
38	1134
0	4842
85	4675
2	4651
0	4562
255	4644
17	526
1	733
0	760
60	792
378	0
0	248
0	357
0	479
0	262
0	410
2	427
0	314
0	347
23622	0
131	0
705	0
7386	0
29	0
0	548
0	499
0	548
0	499
0	478
0	482
0	462
0	496
0	506
0	523
2	497
569	0
109	0
463	0
285	17609
196	17609
20798	0
18	5
0	5
1458	0
2077	51
0	51
15242	0
88	4325
0	6091
0	6091
7988	0
150	9865
384	9865
2169	0
26058	0
0	1007
1	1454
2	1439
407	2120
369	2120
360	0
2230	0
95	1612
25	1379
4	1388
12	1621
0	1939
50	1738
103	1725
14	1337
2146	0
825	0
0	0
4439	0
18	1233
15	1238
345	1233
480	0
1815	0
223	4440
21	4440
0	9627
11	9423
0	8324
2	8303
14	9394
21	9397
696	0
3623	0
7	6594
1958	6594
0	26
0	26
0	27
0	28
0	29
25	0
3	631
56	631
6820	0
1954	0
1112	0
28	5937
581	5937
1175	0
32	0
2124	0
162	4707
12	4487
0	4767
980	0
1713	0
576	0
956	0
27	3992
17	1600
0	4081
10	1623
143	3357
22	1628
23	4007
478	2282
857	3668
380	3590
1103	0
1	30
0	32
0	32
2134	2824
455	0
4	0
24	463
265	463
141	776
82	776
927	0
2	0
238	0
41	0
46	0
259	0
97	0
34	0
11	0
445	0
15	2922
0	2922
466	2110
25	2110
320	1297
21	1297
3239	0
3562	0
3890	0
89	0
525	0
14	2270
439	2270
786	0
318	0
5692	0
5478	0
990	0
463	0
88	0
2733	0
596	0
7866	0
4596	0
486	0
432	26
292	0
2632	0
0	90
133	81
2	119
636	9114
982	9114
2943	0
369	3169
6	3169
245	0
2167	0
1032	0
30	73
2	73
0	125
11	145
2	89
2	90
0	87
84	645
96	1046
148	1033
894	0
202	0
6025	0
0	0
5430	0
0	5437
3	4948
567	5094
3024	0
225	0
414	0
30	4320
40	4320
21	8133
1	8133
5	7966
1448	7961
3	4
0	4
120	5358
167	5358
10	2521
2	2195
0	3574
189	2764
483	3573
3575	0
6221	0
1120	116
12747	0
746	0
1715	0
3768	0
1022	357
1631	357
7	0
5	0
1638	0
1142	1708
70	1708
13582	0
11	3968
0	4730
7	4568
8	4647
11	3859
17	4630
61	4610
17	4711
1350	0
83	0
884	1784
58	1803
2	1570
0	1489
0	1491
26	1207
550	1210
2828	0
615	0
175	0
3	672
3	760
31	741
1958	0
1	755
416	1597
0	1498
3	1484
14	1356
27	1541
4	1032
0	979
1	1099
27	1071
92	722
2	722
16	739
279	739
1022	0
250	0
1224	0
49	256
112	412
70	311
96	277
3270	0
1597	0
345	0
4287	0
21	0
1497	177
0	177
113	6816
0	6340
108	6772
0	6296
5	5417
1078	0
743	0
2	1341
0	1513
2	1494
68	1495
592	0
10403	0
200	0
3501	0
0	913
128	913
393	13
0	0
17	15
23	13
0	0
413	15
948	0
14962	0
74	0
0	0
8	71
264	71
10	484
0	470
0	427
0	438
0	437
0	427
0	424
0	435
29	604
0	604
76	0
8634	0
644	0
254	0
1565	0
5162	264
1	264
1326	0
8	515
85	536
5	536
23	317
2337	0
2	10680
89	11128
543	11119
0	0
3	0
7	2515
1	2515
221	0
7	0
0	0
7	0
7	21
0	21
0	0
641	3337
0	3339
103	52
0	2576
0	2580
5038	0
824	0
40	10529
2	10529
83	1257
7	1257
1	1228
3227	0
359	1479
58	1479
141	0
1301	0
32	0
54	0
48	3083
1	3083
119	3001
0	10777
0	10777
729	0
107	0
1693	0
81	1112
69	1112
17736	15
962	0
1383	1653
74	1653
1549	0
623	0
1	1554
3	1543
0	1567
123	1551
0	1555
0	1567
0	1567
0	1564
0	1567
0	1563
0	1563
0	1544
0	1542
0	1540
0	1540
0	1540
0	1542
0	1537
1224	5252
7	5252
75	2588
85	2588
9027	0
1469	3161
0	3050
5	3165
4	3166
4	3165
2	3166
2	3165
2947	0
571	0
0	0
0	0
0	0
0	0
631	2659
0	1654
2	2723
3	784
20	713
152	1004
4203	0
52	0
13	2
0	2
171	0
710	11316
0	11316
873	0
1951	0
2133	0
304	0
0	0
7	409
43	409
10	191
3	203
0	159
24	174
0	130
0	146
0	249
8	279
0	196
1704	0
3	8
1270	8
1	458
0	403
0	394
0	339
8	0
394	35
0	3
4	0
886	34
8	3
12	0
0	839
0	875
17	1064
0	1121
0	945
0	1142
0	939
