UniqueCount	AmbigCount
897	1
119	552
32	414
9	333
1	286
48	370
77	550
0	1373
0	1373
70	0
128	725
7	1074
30	723
0	723
1	685
1990	1
0	0
660	126
2	126
2092	1
0	567
11	574
0	486
10	529
0	390
0	414
0	402
2	362
1	130
16	0
80	2794
9	2717
28	2793
19	0
13	0
101	0
319	0
704	0
614	0
2616	5
10	1547
2400	1545
251	131
1	131
3	82
5	82
2	55
0	55
0	55
2	55
0	109
1	44
11	109
0	109
0	125
2	124
0	123
0	121
4	0
14	861
69	773
12	799
176	2684
20	2708
29	1841
31	2007
0	1336
0	872
2	872
0	872
175	866
0	883
292	966
18	966
0	15
0	15
0	0
1223	1
0	0
4	0
17	326
11	326
0	2
0	2
0	1569
30	1780
76	536
4	1646
4	0
2505	2
20	429
13	428
519	84
16	92
2	9
41	31
4	2
0	2
0	0
0	0
2	0
2	0
0	0
0	0
3	144
0	144
2435	2
285	0
299	1874
87	1874
438	3626
0	3417
0	3019
3	0
594	0
1259	1
31	3022
0	2560
5	2086
379	1744
0	2
309	587
12	587
225	465
2	465
19	1
2744	3
7	0
19	372
5	372
5	21
0	21
0	21
48	2507
2	2236
3	2141
0	2144
49	872
1	830
3	882
0	730
6	775
0	453
4	441
0	428
0	464
2246	1
70	679
44	679
14	0
333	2039
81	2038
3	66
145	475
2	474
1	8
2	8
1	630
0	697
1	666
73	0
0	0
0	0
3	136
291	136
31	0
33	2248
0	2448
0	2678
40	2487
0	2428
1	932
0	867
29	945
0	897
323	629
788	629
32	1190
0	1196
1	1195
314	0
226	0
0	0
0	2
0	2
2	2
0	2
973	0
3	692
76	606
2112	693
1	755
0	790
0	742
0	730
0	0
0	459
0	459
348	677
4	677
0	459
0	458
1	597
0	459
0	594
51	0
2287	0
0	4
0	4
0	2
18	256
24	256
0	2
2	1452
24	1472
0	1359
0	1369
2	508
0	510
0	449
0	402
0	327
0	327
7	251
413	1461
10	0
29	2504
0	2504
0	543
1	543
24	596
78	596
0	1
0	1
1	2
0	2
10	0
10	1
0	385
19	385
50	0
1	70
0	74
0	68
1	227
24	227
1003	0
1	801
27	801
1521	1
173	0
145	717
5	715
124	3555
260	3557
21	73
554	0
0	93
3	93
102	0
199	1418
69	1418
1190	3
19	310
89	310
1	255
130	0
32	311
0	299
2	321
0	3
3	1
1	3
714	1
8	161
0	161
1	161
86	681
0	190
81	323
0	627
0	416
0	177
20	631
1391	0
431	3544
1	4154
243	4154
12	3640
0	4164
0	3837
49	4164
12	115
73	115
165	0
28	839
0	805
0	479
0	472
197	964
1	964
81	0
20	343
1	406
1	407
297	573
91	1095
21	1003
1	0
942	2118
26	2118
1023	933
28	933
404	0
48	622
30	622
816	0
116	196
6	196
190	0
429	0
0	296
0	296
0	314
0	0
0	3719
3	3605
2	3467
6	1335
13	2626
594	886
0	4649
0	4688
0	3421
4	3236
61	0
0	97
1	97
0	97
373	0
25	0
439	5785
46	5838
0	5042
1	44
0	45
4	24
737	292
22	361
13	339
334	0
44	0
105	405
33	405
2272	2
115	1
4	1112
22	1112
5190	4136
5	4132
18	110
2439	1
6082	0
4	2
0	641
0	665
0	629
0	606
1	297
10	0
0	47
0	50
7	52
217	2
87	0
1	1934
1	1903
55	1803
19	0
11	0
80	0
35	2488
452	2489
85	0
0	0
37	288
1	288
0	156
931	1
58	0
