"Chromosome" "Bias" "n" "total" "pntg" "comp"
"1" "Z" "A_bias" 4 397 1.00755667506297 "AvsB"
"2" "Z" "Unbias" 393 397 98.992443324937 "AvsB"
"3" "aut" "A_bias" 29 11144 0.260229720028715 "AvsB"
"4" "aut" "B_bias" 27 11144 0.242282842785355 "AvsB"
"5" "aut" "Unbias" 11088 11144 99.4974874371859 "AvsB"
"6" "Z" "AA_bias" 3 458 0.655021834061135 "ABvsAA"
"7" "Z" "AB_bias" 7 458 1.52838427947598 "ABvsAA"
"8" "Z" "Unbias" 448 458 97.8165938864629 "ABvsAA"
"9" "aut" "AA_bias" 71 11038 0.643232469650299 "ABvsAA"
"10" "aut" "AB_bias" 45 11038 0.407682551186809 "ABvsAA"
"11" "aut" "Unbias" 10922 11038 98.9490849791629 "ABvsAA"
