Pos,FST,Ahaps_pi,Bhaps_pi,n.sites,Ahaps_pis,Bhaps_pis,A_Tajima.D,A_n.segregating.sites,A_Rozas.R_2,A_Fu.Li.F,A_Fu.Li.D,A_Fu.F_S,A_Fay.Wu.H,A_Zeng.E,A_Strobeck.S,B_Tajima.D,B_n.segregating.sites,B_Rozas.R_2,B_Fu.Li.F,B_Fu.Li.D,B_Fu.F_S,B_Fay.Wu.H,B_Zeng.E,B_Strobeck.S,dxy,region
10000,0.0270224264862333,140.75,63.3928571428571,1e+05,0.0014075,0.000633928571428571,-1.21860285940382,469,NA,-2.3625898245167,-2.19315094445686,NA,0.766886797040952,-2.14086682156925,NA,-0.859750203796273,195,NA,-1.32128036124732,-1.15762992102215,NA,-0.311864703249947,-0.455070763498893,NA,104.90625,2 - 100001 :
20000,0.0281631572978495,158.892857142857,70.6428571428571,1e+05,0.00158892857142857,0.000706428571428571,-1.21527609573893,529,NA,-2.34717449320698,-2.17693720620427,NA,0.795786412373769,-2.17225517639976,NA,-0.853862645898515,217,NA,-1.27390278670009,-1.10621458033035,NA,-0.34287074843712,-0.41382054513362,NA,118.09375,10002 - 110001 :
30000,0.0276356192425795,165.142857142857,72.3571428571428,1e+05,0.00165142857142857,0.000723571428571428,-1.22464138329532,551,NA,-2.35943505798254,-2.18709591897695,NA,0.793397907185751,-2.16873269532299,NA,-0.910209685702406,225,NA,-1.34448636278056,-1.16391823354138,NA,-0.374477640578305,-0.430873553083268,NA,122.125,20002 - 120001 :
40000,0.0264091175154084,173.5,78.9642857142857,1e+05,0.001735,0.000789642857142857,-1.23299203310388,580,NA,-2.35843928705539,-2.18265728309112,NA,0.817960770167266,-2.20700713157791,NA,-0.88163980793556,244,NA,-1.3898965925103,-1.22627082020133,NA,-0.236599914005858,-0.591379077552604,NA,129.65625,30002 - 130001 :
50000,0.0256937307297023,180.464285714286,81.9285714285714,1e+05,0.00180464285714286,0.000819285714285714,-1.23816460060433,604,NA,-2.38836829927268,-2.21444177105066,NA,0.872383109818807,-2.28709265418338,NA,-0.915014984532501,255,NA,-1.50479295086131,-1.34301712702185,NA,-0.0739002490659587,-0.818751214986524,NA,134.65625,40002 - 140001 :
60000,0.0266605023886581,194.535714285714,87.4285714285714,1e+05,0.00194535714285714,0.000874285714285714,-1.2179854344028,648,NA,-2.35625524547789,-2.18601193221505,NA,0.852934034845704,-2.24369277726899,NA,-0.896412766805973,271,NA,-1.49858729633891,-1.34319881686531,NA,-0.0484067489949178,-0.850679196734486,NA,144.84375,50002 - 150001 :
70000,0.0282270463071157,195.285714285714,86.8928571428571,1e+05,0.00195285714285714,0.000868928571428571,-1.21471269759978,650,NA,-2.33571186999951,-2.16406575948824,NA,0.807767656622792,-2.19410007980088,NA,-0.890596768227376,269,NA,-1.51940107129285,-1.36900619899664,NA,0.0502836788204024,-0.983432325226887,NA,145.1875,60002 - 160001 :
80000,0.0272710854253212,199.678571428571,88.8571428571428,1e+05,0.00199678571428571,0.000888571428571428,-1.19129080165062,661,NA,-2.30905421612975,-2.14311183494882,NA,0.791254755400186,-2.16724051747561,NA,-0.838627000287528,272,NA,-1.50347073607639,-1.37131164175668,NA,0.144678424119245,-1.0654417094337,NA,148.3125,70002 - 170001 :
90000,0.0251042260280141,201.75,88.4642857142857,1e+05,0.0020175,0.000884642857142857,-1.19223417972098,668,NA,-2.29925852563152,-2.13165877293618,NA,0.786704889568733,-2.17043889429999,NA,-0.876107973415781,273,NA,-1.6132061451956,-1.48067663563489,NA,0.289811154408167,-1.27594276697885,NA,148.84375,80002 - 180001 :
1e+05,0.0200963899245258,203.285714285714,85.3571428571428,1e+05,0.00203285714285714,0.000853571428571428,-1.22976778488252,679,NA,-2.37493115161873,-2.20247589493468,NA,0.841512301216338,-2.27305926863605,NA,-0.97174822067226,269,NA,-1.78514934633204,-1.6376274153403,NA,0.399201917029708,-1.50090407098115,NA,147.28125,90002 - 190001 :
110000,0.0148606616607504,198.571428571429,81.3928571428571,1e+05,0.00198571428571429,0.000813928571428571,-1.23451520210384,664,NA,-2.37402183874553,-2.19959556016022,NA,0.830580873901735,-2.27331887133908,NA,-0.997669173362209,258,NA,-1.84065647960864,-1.69027786993082,NA,0.39854191549778,-1.52746365973641,NA,142.09375,100002 - 200001 :
