"gene" "sample" "reads" "genotype" "FeatureStart" "FeatureEnd" "P1_nonsyn" "P2_nonsyn" "P1_syn" "P2_syn" "D_nonsyn" "D_syn" "exon_length" "length" "Dtotal" "Dn_cont" "Ds_cont" "Dtotal_cont" "dif_or_not" "dnds"
"1" "ABHD17B" "TGU14" 3.52181864993705 "AB" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"2" "ABHD17B" "TGU17" 3.34913895936127 "AB" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"3" "ABHD17B" "TGU26" 3.4786736336222 "AB" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"4" "ABHD17B" "TGU27" 3.51547886907276 "AA" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"5" "ABHD17B" "TGU29" 3.72565649063131 "AA" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"6" "ACO1" "TGU29" 7.201952203488 "AA" 34549677 34593009 0 0 0 0 1 0 5864 43332 1 0.000170532060027285 0 0.000170532060027285 "DIF" 1
"7" "ACO1" "TGU14" 6.9633650299753 "AB" 34549677 34593009 0 0 0 0 1 0 5864 43332 1 0.000170532060027285 0 0.000170532060027285 "DIF" 1
"8" "ACO1" "TGU26" 7.02423859895903 "AB" 34549677 34593009 0 0 0 0 1 0 5864 43332 1 0.000170532060027285 0 0.000170532060027285 "DIF" 1
"9" "ACO1" "TGU27" 7.13185066844586 "AA" 34549677 34593009 0 0 0 0 1 0 5864 43332 1 0.000170532060027285 0 0.000170532060027285 "DIF" 1
"10" "ACO1" "TGU17" 6.76022796519428 "AB" 34549677 34593009 0 0 0 0 1 0 5864 43332 1 0.000170532060027285 0 0.000170532060027285 "DIF" 1
"11" "AGGF1" "TGU26" 4.6741086274505 "AB" 59592131 59614776 0 0 3 1 1 0 3096 22645 1 0.000322997416020672 0 0.000322997416020672 "DIF" 1
"12" "AGGF1" "TGU14" 4.68741304193394 "AB" 59592131 59614776 0 0 3 1 1 0 3096 22645 1 0.000322997416020672 0 0.000322997416020672 "DIF" 1
"13" "AGGF1" "TGU17" 4.71784654278916 "AB" 59592131 59614776 0 0 3 1 1 0 3096 22645 1 0.000322997416020672 0 0.000322997416020672 "DIF" 1
"14" "AGGF1" "TGU29" 4.82704216928116 "AA" 59592131 59614776 0 0 3 1 1 0 3096 22645 1 0.000322997416020672 0 0.000322997416020672 "DIF" 1
"15" "AGGF1" "TGU27" 4.78328249063322 "AA" 59592131 59614776 0 0 3 1 1 0 3096 22645 1 0.000322997416020672 0 0.000322997416020672 "DIF" 1
"16" "AGTPBP1" "TGU26" 5.76977735035139 "AB" 54838592 54899033 1 0 2 0 0 1 5048 60441 1 0 0.000198098256735341 0.000198098256735341 "DIF" 0
"17" "AGTPBP1" "TGU27" 6.06390110974254 "AA" 54838592 54899033 1 0 2 0 0 1 5048 60441 1 0 0.000198098256735341 0.000198098256735341 "DIF" 0
"18" "AGTPBP1" "TGU17" 5.47053964776181 "AB" 54838592 54899033 1 0 2 0 0 1 5048 60441 1 0 0.000198098256735341 0.000198098256735341 "DIF" 0
"19" "AGTPBP1" "TGU29" 5.93474376688035 "AA" 54838592 54899033 1 0 2 0 0 1 5048 60441 1 0 0.000198098256735341 0.000198098256735341 "DIF" 0
"20" "AGTPBP1" "TGU14" 5.53333185521759 "AB" 54838592 54899033 1 0 2 0 0 1 5048 60441 1 0 0.000198098256735341 0.000198098256735341 "DIF" 0
"21" "AK3" "TGU14" 3.39778105628985 "AB" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"22" "AK3" "TGU17" 3.56396383189355 "AB" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"23" "AK3" "TGU26" 3.0584728219299 "AB" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"24" "AK3" "TGU27" 2.90636770458127 "AA" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"25" "AK3" "TGU29" 3.2173309952547 "AA" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"26" "ALDH7A1" "TGU14" 2.95990913566803 "AB" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"27" "ALDH7A1" "TGU17" 2.63449120835774 "AB" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"28" "ALDH7A1" "TGU26" 2.44324557864922 "AB" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"29" "ALDH7A1" "TGU27" 2.38512566283467 "AA" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"30" "ALDH7A1" "TGU29" 2.51467715558283 "AA" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"31" "ALDOB" "TGU27" 4.69859168285479 "AA" 18069863 18079832 0 0 0 0 0 1 1622 9969 1 0 0.00061652281134402 0.00061652281134402 "DIF" 0
"32" "ALDOB" "TGU26" 3.27924210193849 "AB" 18069863 18079832 0 0 0 0 0 1 1622 9969 1 0 0.00061652281134402 0.00061652281134402 "DIF" 0
"33" "ALDOB" "TGU17" 5.22519927372534 "AB" 18069863 18079832 0 0 0 0 0 1 1622 9969 1 0 0.00061652281134402 0.00061652281134402 "DIF" 0
"34" "ALDOB" "TGU14" 3.79079378890678 "AB" 18069863 18079832 0 0 0 0 0 1 1622 9969 1 0 0.00061652281134402 0.00061652281134402 "DIF" 0
"35" "ALDOB" "TGU29" 4.54022909066878 "AA" 18069863 18079832 0 0 0 0 0 1 1622 9969 1 0 0.00061652281134402 0.00061652281134402 "DIF" 0
"36" "AMACR" "TGU14" 2.89042814411899 "AB" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"37" "AMACR" "TGU17" 2.89609198383418 "AB" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"38" "AMACR" "TGU26" 2.80637765928063 "AB" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"39" "AMACR" "TGU27" 2.74385858678177 "AA" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"40" "AMACR" "TGU29" 2.58439211988241 "AA" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"41" "ANKRA2" "TGU27" 5.74633407314727 "AA" 61016621 61025610 0 0 0 0 0 1 1951 8989 1 0 0.000512557662737058 0.000512557662737058 "DIF" 0
"42" "ANKRA2" "TGU26" 5.72115176225069 "AB" 61016621 61025610 0 0 0 0 0 1 1951 8989 1 0 0.000512557662737058 0.000512557662737058 "DIF" 0
"43" "ANKRA2" "TGU29" 5.72072840977943 "AA" 61016621 61025610 0 0 0 0 0 1 1951 8989 1 0 0.000512557662737058 0.000512557662737058 "DIF" 0
"44" "ANKRA2" "TGU14" 5.76521145779472 "AB" 61016621 61025610 0 0 0 0 0 1 1951 8989 1 0 0.000512557662737058 0.000512557662737058 "DIF" 0
"45" "ANKRA2" "TGU17" 5.66174110650342 "AB" 61016621 61025610 0 0 0 0 0 1 1951 8989 1 0 0.000512557662737058 0.000512557662737058 "DIF" 0
"46" "ANKRD31" "TGU14" 4.09241787301301 "AB" 60332675 60397704 2 1 1 0 11 4 6627 65029 15 0.00165987626376943 0.000603591368643428 0.00226346763241286 "DIF" 2.2
"47" "ANKRD31" "TGU27" 4.63944178082371 "AA" 60332675 60397704 2 1 1 0 11 4 6627 65029 15 0.00165987626376943 0.000603591368643428 0.00226346763241286 "DIF" 2.2
"48" "ANKRD31" "TGU26" 4.04307657365644 "AB" 60332675 60397704 2 1 1 0 11 4 6627 65029 15 0.00165987626376943 0.000603591368643428 0.00226346763241286 "DIF" 2.2
"49" "ANKRD31" "TGU29" 4.45557854849867 "AA" 60332675 60397704 2 1 1 0 11 4 6627 65029 15 0.00165987626376943 0.000603591368643428 0.00226346763241286 "DIF" 2.2
"50" "ANKRD31" "TGU17" 4.25062400335056 "AB" 60332675 60397704 2 1 1 0 11 4 6627 65029 15 0.00165987626376943 0.000603591368643428 0.00226346763241286 "DIF" 2.2
"51" "ANXA1" "TGU14" 2.79799538627944 "AB" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"52" "ANXA1" "TGU17" 2.82542649894235 "AB" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"53" "ANXA1" "TGU26" 2.09334777253828 "AB" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"54" "ANXA1" "TGU27" 2.30081915357568 "AA" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"55" "ANXA1" "TGU29" 2.20033000085785 "AA" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"56" "AP3B1" "TGU14" 4.53961754057739 "AB" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"57" "AP3B1" "TGU17" 4.76068452720939 "AB" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"58" "AP3B1" "TGU26" 4.58454172038797 "AB" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"59" "AP3B1" "TGU27" 4.79792222597982 "AA" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"60" "AP3B1" "TGU29" 4.67512432208707 "AA" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"61" "AP3S1" "TGU14" 4.27685723980082 "AB" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"62" "AP3S1" "TGU17" 4.12727491883403 "AB" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"63" "AP3S1" "TGU26" 4.69034390875354 "AB" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"64" "AP3S1" "TGU27" 4.15196570782119 "AA" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"65" "AP3S1" "TGU29" 4.21659238996869 "AA" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"66" "APBA1" "TGU27" 2.58365271220827 "AA" 22864261 22959912 0 0 2 0 0 1 6733 95651 1 0 0.000148522204069508 0.000148522204069508 "DIF" 0
"67" "APBA1" "TGU29" 2.46084330993833 "AA" 22864261 22959912 0 0 2 0 0 1 6733 95651 1 0 0.000148522204069508 0.000148522204069508 "DIF" 0
"68" "APBA1" "TGU14" 2.68763574042878 "AB" 22864261 22959912 0 0 2 0 0 1 6733 95651 1 0 0.000148522204069508 0.000148522204069508 "DIF" 0
"69" "APBA1" "TGU17" 2.69960008121648 "AB" 22864261 22959912 0 0 2 0 0 1 6733 95651 1 0 0.000148522204069508 0.000148522204069508 "DIF" 0
"70" "APBA1" "TGU26" 2.63894566198907 "AB" 22864261 22959912 0 0 2 0 0 1 6733 95651 1 0 0.000148522204069508 0.000148522204069508 "DIF" 0
"71" "APC" "TGU14" 4.60716006408534 "AB" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"72" "APC" "TGU17" 4.75035310584438 "AB" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"73" "APC" "TGU26" 5.00886642287302 "AB" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"74" "APC" "TGU27" 5.30165271145747 "AA" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"75" "APC" "TGU29" 5.0901471663893 "AA" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"76" "APTX" "TGU14" 6.05246648359622 "AB" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"77" "APTX" "TGU17" 6.07359732511049 "AB" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"78" "APTX" "TGU26" 6.223040254263 "AB" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"79" "APTX" "TGU27" 6.10615228057706 "AA" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"80" "APTX" "TGU29" 6.16376170606507 "AA" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"81" "ARHGEF39" "TGU14" 1.98460720113239 "AB" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"82" "ARHGEF39" "TGU17" 1.94166976541568 "AB" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"83" "ARHGEF39" "TGU26" 2.30586832477611 "AB" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"84" "ARHGEF39" "TGU27" 2.60398294414893 "AA" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"85" "ARHGEF39" "TGU29" 2.16793326594559 "AA" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
"86" "ARID3C" "TGU14" 0.751068135871881 "AB" NA NA NA NA NA NA 0 0 NA NA NA 0 0 0 "NOT" 0
