"Row.names" "Gene_Name" "FeatureStart" "FeatureEnd" "P1_nonsyn" "P2_nonsyn" "P1_syn" "P2_syn" "D_nonsyn" "D_syn" "exon_length" "length" "Dtotal" "Dn_cont" "Ds_cont" "Dtotal_cont" "dif_or_not" "dnds" "logFC" "logCPM" "PValue" "fdr" "Chromosome" "Bias"
"1" "ABCA1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.260879933515783 6.52832106601272 0.439526269189021 0.82812440552573 "Z" "Unbias"
"2" "ABHD17B" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA 0.113967824513439 4.59300491241936 0.583169544788846 0.895108898605697 "Z" "Unbias"
"3" "ACAA2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA 0.319353883352345 5.74418519395607 0.116681245176925 0.522911557767246 "Z" "Unbias"
"4" "ACO1" "ACO1" 34549677 34593009 0 0 0 0 1 0 5864 43332 1 0.000170532060027285 0 0.000170532060027285 "DIF" 1 0.233211565327306 8.49662445092287 0.127873728638157 0.54790866326104 "Z" "Unbias"
"5" "AGGF1" "AGGF1" 59592131 59614776 0 0 3 1 1 0 3096 22645 1 0.000322997416020672 0 0.000322997416020672 "DIF" 1 0.082863421778081 6.12448022842576 0.575842263350855 0.890549471965275 "Z" "Unbias"
"6" "AGTPBP1" "AGTPBP1" 54838592 54899033 1 0 2 0 0 1 5048 60441 1 0 0.000198098256735341 0.000198098256735341 "DIF" 0 0.370156973462311 7.65844738854916 0.0220191657142824 0.246111836553943 "Z" "Unbias"
"7" "AK3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.225650848112018 2.8534513857249 0.48800547727201 0.856559996361831 "Z" "Unbias"
"8" "ALDH7A1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.257687144616078 2.70622786629887 0.423805939592237 0.820051919815004 "Z" "Unbias"
"9" "ALDOB" "ALDOB" 18069863 18079832 0 0 0 0 0 1 1622 9969 1 0 0.00061652281134402 0.00061652281134402 "DIF" 0 0.285247849086303 5.08603193823927 0.582928512704156 0.895108898605697 "Z" "Unbias"
"10" "AMACR" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.199811317511977 2.90548631456325 0.478136181958368 0.852056038012023 "Z" "Unbias"
"11" "ANKRA2" "ANKRA2" 61016621 61025610 0 0 0 0 0 1 1951 8989 1 0 0.000512557662737058 0.000512557662737058 "DIF" 0 -0.0077459668553785 6.23969172183337 0.964873449267295 1 "Z" "Unbias"
"12" "ANKRD31" "ANKRD31" 60332675 60397704 2 1 1 0 11 4 6627 65029 15 0.00165987626376943 0.000603591368643428 0.00226346763241286 "DIF" 2.2 0.385328630755431 6.80873254335088 0.0124855028622484 0.184817661272358 "Z" "Unbias"
"13" "ANXA1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.362671758785018 2.82873790700976 0.300146370833508 0.744298452060469 "Z" "Unbias"
"14" "AP3B1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA 0.0910327810078985 6.49872762319324 0.556248324831093 0.882973785107684 "Z" "Unbias"
"15" "AP3S1" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.222023441610799 4.28065888982697 0.373376132812427 0.788058752991762 "Z" "Unbias"
"16" "APBA1" "APBA1" 22864261 22959912 0 0 2 0 0 1 6733 95651 1 0 0.000148522204069508 0.000148522204069508 "DIF" 0 -0.178876560670788 5.06141910530027 0.325067246576207 0.760491259361129 "Z" "Unbias"
"17" "APC" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA 0.377167446566347 8.69296416829283 0.0334609096638074 0.300965483099348 "Z" "Unbias"
"18" "APTX" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA 0.00722653821808733 6.38536453560802 0.957167737754584 1 "Z" "Unbias"
"19" "ARHGEF39" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA 0.300009799027376 3.39590117751362 0.295906504590166 0.739670042148104 "Z" "Unbias"
"20" "ARID3C" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA 1.58645987873248 3.1328622078077 1.30946809612335e-09 7.5497383081992e-07 "Z" "AA_bias"
"21" "ARL14EPL" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA 0.648714505754074 2.31488234709149 0.0301313725352174 0.285727678210191 "Z" "Unbias"
"22" "ARL15" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.321815385186894 5.06468542122523 0.107138227279401 0.505280531189684 "Z" "Unbias"
"23" "ARRDC3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.00402858129966351 5.38281063921558 0.996544438270584 1 "Z" "Unbias"
"24" "ARSK" "ARSK" 14055491 14089573 11 1 16 1 1 1 2584 34082 2 0.000386996904024768 0.000386996904024768 0.000773993808049536 "DIF" 0.5 0.104349923726011 3.63655306835692 0.674121953588043 0.928931673855607 "Z" "Unbias"
"25" "ATG12" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA 0.042597729240766 5.67343575005564 0.792165444953563 0.969774050628089 "Z" "Unbias"
"26" "ATP5F1A" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "NOT" NA -0.143176565906598 8.59796024390026 0.293816159720295 0.738565353151009 "Z" "Unbias"
